"Notes"	"County"	"County Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	40	203709	19.6
	"Baldwin County, AL"	"01003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	208563	12.0
	"Blount County, AL"	"01009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	57673	Unreliable
	"Blount County, AL"	"01009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	57704	Unreliable
	"Calhoun County, AL"	"01015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	115620	17.3
	"Calhoun County, AL"	"01015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	114611	Unreliable
	"Cullman County, AL"	"01043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	82005	Unreliable
	"Cullman County, AL"	"01043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	82471	Unreliable
	"DeKalb County, AL"	"01049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	71130	Unreliable
	"DeKalb County, AL"	"01049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	70900	Unreliable
	"Etowah County, AL"	"01055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	22	103057	21.3
	"Etowah County, AL"	"01055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	102564	Unreliable
	"Houston County, AL"	"01069"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	104173	Unreliable
	"Jefferson County, AL"	"01073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	154	660367	23.3
	"Jefferson County, AL"	"01073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	191	659521	29.0
	"Lauderdale County, AL"	"01077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	92318	Unreliable
	"Lee County, AL"	"01081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	156993	Unreliable
	"Madison County, AL"	"01089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	353089	10.8
	"Madison County, AL"	"01089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	56	356967	15.7
	"Marshall County, AL"	"01095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	94725	25.3
	"Marshall County, AL"	"01095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	95157	Unreliable
	"Mobile County, AL"	"01097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	64	415395	15.4
	"Mobile County, AL"	"01097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	54	414836	13.0
	"Mobile County, AL"	"01097"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	10	414836	Unreliable
	"Montgomery County, AL"	"01101"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	226519	Unreliable
	"Montgomery County, AL"	"01101"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	226349	Unreliable
	"Morgan County, AL"	"01103"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	119565	16.7
	"Morgan County, AL"	"01103"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	119012	Unreliable
